time,main,fridge-freezer,appliance2,appliance3,computer_site,microwave,kettle,toaster,television,appliance9
2014-06-04 00:00:00,0.15294,0.0517349999999999,0.0047716666666666,0.001,0.0,6.666666666666668e-06,0.0,0.0,0.0,0.0
2014-06-04 01:00:00,0.14326,0.0,0.0051216666666666,0.001,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-04 02:00:00,0.1566416666666666,0.0496533333333333,0.0092916666666666,0.001,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-04 03:00:00,0.14676,0.0167666666666666,0.0047983333333333,0.001,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-04 04:00:00,0.1455566666666666,0.03292,0.004755,0.001,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-04 05:00:00,0.3422433333333333,0.0343583333333333,0.0330683333333333,0.001,0.152625,0.0,0.0,0.0,0.0,0.0
2014-06-04 06:00:00,0.4352136894824708,0.014338898163606,0.004939899833055,0.001,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-04 07:00:00,0.4844816666666667,0.0527466666666666,0.0047366666666666,0.001,0.1010283333333333,0.0,0.0,0.0,0.0,0.0
2014-06-04 08:00:00,0.137585,0.0,0.0047966666666666,0.001,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-04 09:00:00,0.1471483333333333,0.04638,0.0048049999999999,0.0010016666666666,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-04 10:00:00,0.142745,0.0222816666666666,0.0048166666666666,0.001,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-04 11:00:00,0.5836766666666666,0.0243383333333333,0.0048183333333333,0.001,0.12223,0.0,0.0,0.0,0.0,0.0
2014-06-04 12:00:00,0.219150084317032,0.0438212478920742,0.018787521079258,0.0565632377740303,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-04 13:00:00,0.2560806722689075,0.0102974789915966,0.1565663865546218,0.001,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-04 14:00:00,0.4262866666666667,0.0375933333333333,0.1394166666666666,0.001,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-04 15:00:00,0.282,0.04969,0.0477816666666666,0.001,0.090415,0.0,0.0,0.0,0.0,0.0
2014-06-04 16:00:00,0.1745416666666666,0.0425933333333333,0.0365616666666666,0.001,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-04 17:00:00,0.3697354409317804,0.0331247920133111,0.1100183028286189,0.001,0.1338851913477537,0.0,0.0,0.0,0.0,0.0
2014-06-04 18:00:00,0.28824,0.0112383333333333,0.1893616666666666,0.001,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-04 19:00:00,0.2552649999999999,0.04295,0.1137933333333333,0.001,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-04 20:00:00,0.3045738255033557,0.030239932885906,0.063726510067114,0.001,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-04 21:00:00,0.3081277310924369,0.0124134453781512,0.1835512605042016,0.001,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-04 22:00:00,0.2784433333333333,0.042755,0.141785,0.0010016666666666,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-04 23:00:00,0.1542306368330464,0.0030843373493975,0.0226471600688468,0.001,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-05 00:00:00,0.1622906574394463,0.0428321799307958,0.0227179930795847,0.001,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-05 01:00:00,0.1448531468531468,0.0185944055944055,0.0059300699300699,0.0010017482517482,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-05 02:00:00,0.148761658031088,0.0269067357512953,0.009321243523316,0.001,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-05 03:00:00,0.1473823008849557,0.0401964601769911,0.0048371681415929,0.001,0.0,0.0,0.0,0.0,0.0,0.0
