time,main,fridge,freezer,tumble_dryer,washing_machine,dishwasher,computer_site,television_site,microwave,kettle
2014-06-04 00:00:00,0.203953125,0.0210729166666666,0.067453125,0.0,0.0,0.0,0.0,0.00409375,0.0020182291666666,0.0
2014-06-04 01:00:00,0.2123636363636363,0.0220252525252525,0.0672550505050505,0.0,0.0,0.0,0.0,0.0041136363636363,0.0020580808080808,0.0
2014-06-04 02:00:00,0.1647452574525745,0.0227560975609756,0.0282899728997289,0.0,0.0,0.0,0.0,0.0041517615176151,0.0020596205962059,0.0
2014-06-04 03:00:00,0.1800618279569892,0.020252688172043,0.0390376344086021,0.0,0.0,0.0,0.0,0.0050483870967741,0.0020994623655913,0.0
2014-06-04 04:00:00,0.2283760217983651,0.0347929155313351,0.0666866485013624,0.0,0.0,0.0,0.0,0.0040735694822888,0.0020572207084468,0.0
2014-06-04 05:00:00,0.3207021857923497,0.0400710382513661,0.0623032786885245,0.0,0.0,0.0,0.0,0.0040819672131147,0.0020628415300546,0.0
2014-06-04 06:00:00,0.4681129411764706,0.0395294117647058,0.0480964705882352,0.0,0.0,0.0,0.0,0.0040423529411764,0.0698941176470588,0.0899811764705882
2014-06-04 07:00:00,0.1837251908396946,0.0250661577608142,0.028882951653944,0.0,0.0,0.0,0.0,0.0040229007633587,0.002002544529262,0.0
2014-06-04 08:00:00,0.2000024096385542,0.0307253012048192,0.0391493975903614,0.0,0.0,0.0,0.0,0.0040168674698795,0.0019469879518072,0.0
2014-06-04 09:00:00,0.2001169724770642,0.0281422018348623,0.0648669724770642,0.0,0.0,0.0,0.0,0.0040275229357798,0.0019908256880733,0.0
2014-06-04 10:00:00,0.2124645833333333,0.0233145833333333,0.06490625,0.0,0.0,0.0,0.0,0.0040291666666666,0.0019895833333333,0.0
2014-06-04 11:00:00,0.4475389473684211,0.0378968421052631,0.1121684210526315,0.0,0.0,0.0014610526315789,0.0,0.0492631578947368,0.0989326315789473,0.0
2014-06-04 12:00:00,1.094606490872211,0.0178782961460446,0.111918864097363,0.0,0.0,0.7950141987829614,0.0,0.0704442190669371,0.0020121703853955,0.0
2014-06-04 13:00:00,0.304620253164557,0.0206518987341772,0.0349873417721519,0.0,0.0,0.059801687763713,0.0,0.0805949367088607,0.002,0.0
2014-06-04 14:00:00,0.2136107899807321,0.0287899807321772,0.0347996146435452,0.0,0.0,0.0,0.0,0.0182138728323699,0.002,0.0
2014-06-04 15:00:00,0.8961775862068966,0.0357568965517241,0.0630103448275862,0.0,0.0,0.0,0.0,0.0045931034482758,0.002001724137931,0.0714637931034482
2014-06-04 16:00:00,0.8994540727902947,0.0352824956672443,0.067686308492201,0.0,0.0,0.0,0.0,0.0372218370883882,0.0020121317157712,0.0861837088388214
2014-06-04 17:00:00,0.2330281030444964,0.0242622950819672,0.0566885245901639,0.0,0.0,0.0,0.0,0.0066440281030444,0.0019976580796252,0.0
2014-06-04 18:00:00,0.1931947115384615,0.0236730769230769,0.0389326923076923,0.0,0.0,0.0,0.0,0.0136802884615384,0.002014423076923,0.0
2014-06-04 19:00:00,0.4263407202216067,0.0816232686980609,0.1119861495844875,0.0,0.0,0.0,0.0,0.0499002770083102,0.0020692520775623,0.0
2014-06-04 20:00:00,0.5478141809290953,0.0808753056234719,0.0603545232273838,0.0,0.0,0.0,0.0,0.0765867970660146,0.0019755501222493,0.101721271393643
2014-06-04 21:00:00,0.3039243243243243,0.0404324324324324,0.0876216216216216,0.0,0.0,0.0,0.0,0.0092594594594594,0.0020243243243243,0.0
2014-06-04 22:00:00,0.2041376404494382,0.0289550561797752,0.042564606741573,0.0,0.0,0.0,0.0,0.0117050561797752,0.0022387640449438,0.0
2014-06-04 23:00:00,0.1808041237113402,0.0236323024054982,0.0406580756013745,0.0,0.0,0.0,0.0,0.0075756013745704,0.0022594501718213,0.0
2014-06-05 00:00:00,0.2178397887323943,0.0221971830985915,0.0752482394366197,0.0,0.0,0.0,0.0,0.0042007042253521,0.0021197183098591,0.0
2014-06-05 01:00:00,0.2071975945017182,0.021340206185567,0.0649570446735395,0.0,0.0,0.0,0.0,0.0042835051546391,0.0022302405498281,0.0
2014-06-05 02:00:00,0.1687618213660245,0.0223064798598949,0.0325061295971979,0.0,0.0,0.0,0.0,0.0041821366024518,0.0021873905429071,0.0
2014-06-05 03:00:00,0.182447322970639,0.0227443868739205,0.0376925734024179,0.0,0.0,0.0,0.0,0.0051001727115716,0.002,0.0
2014-06-05 04:00:00,0.2175043782837127,0.0330525394045534,0.0630665499124343,0.0,0.0,0.0,0.0,0.0041103327495621,0.0020035026269702,0.0
2014-06-05 05:00:00,0.3519631578947368,0.0394859649122807,0.0722228070175438,0.0,0.0,0.0,0.0,0.0041210526315789,0.0020350877192982,0.0
2014-06-05 06:00:00,0.4031195079086115,0.0551739894551845,0.0264499121265377,0.0,0.0,0.0,0.0,0.0040826010544815,0.0643427065026362,0.075323374340949
2014-06-05 07:00:00,0.267192439862543,0.0266769759450171,0.059987972508591,0.0,0.0,0.0,0.0,0.0595584192439862,0.0019948453608247,0.0
2014-06-05 08:00:00,0.2154403508771929,0.0229929824561403,0.0642070175438596,0.0,0.0,0.0,0.0,0.0104719298245614,0.0019508771929824,0.0
2014-06-05 09:00:00,0.1904373927958833,0.0216792452830188,0.0448850771869639,0.0,0.0,0.0,0.0,0.004082332761578,0.002,0.0
2014-06-05 10:00:00,0.271584347826087,0.0408678260869565,0.0529095652173913,0.0,0.0,0.0,0.0,0.0041060869565217,0.0526539130434782,0.0
2014-06-05 11:00:00,0.3729418803418803,0.083476923076923,0.1390376068376068,0.0,0.0,0.0,0.0,0.0040615384615384,0.0019965811965811,0.0
2014-06-05 12:00:00,0.3632434325744308,0.0257723292469352,0.1119912434325744,0.0,0.0,0.0,0.0,0.0041278458844133,0.0020122591943957,0.075677758318739
2014-06-05 13:00:00,0.6494880952380951,0.0716921768707483,0.0319030612244898,0.0,0.0,0.0,0.0,0.0040646258503401,0.0020102040816326,0.0
