time,main,fridge-freezer,appliance2,appliance3,computer_site,microwave,kettle,toaster,television,appliance9
2014-03-07 11:00:00,0.32861245674740486,1.7301038062283738e-06,0.004858131487889273,0.0011522491349480967,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-07 12:00:00,0.13813884007029878,0.0,0.004894551845342707,0.0010017574692442884,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-07 13:00:00,0.15610606060606058,0.08623160173160173,0.004885281385281386,0.001,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-07 14:00:00,0.13935185185185184,0.009205387205387206,0.004877104377104377,0.0010016835016835018,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-07 15:00:00,0.16366331658291458,0.0,0.02146566164154104,0.001,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-07 16:00:00,0.1760865800865801,0.0359025974025974,0.022168831168831168,0.001,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-07 17:00:00,0.1629636752136752,0.08024358974358974,0.00489957264957265,0.001,0.001094017094017094,0.0,0.0,0.0,0.0,0.0
2014-03-07 18:00:00,1.4186589285714286,0.017676785714285714,0.09272857142857142,0.08436249999999999,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-07 19:00:00,0.35019576719576717,0.003162257495590829,0.17721340388007056,0.001,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-07 20:00:00,0.4018921232876712,0.08715924657534246,0.16071404109589044,0.001,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-07 21:00:00,0.263698606271777,0.039763066202090594,0.0953275261324042,0.001,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-07 22:00:00,0.15212878787878786,3.787878787878788e-06,0.022660984848484847,0.001,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-07 23:00:00,0.17582490974729242,0.031628158844765344,0.022752707581227438,0.001,0.0,2.888086642599278e-05,0.0,0.0,0.0,0.0
