time,main,fridge-freezer,tumble_dryer,washing_machine,dishwasher,food_mixer,television,kettle,vivarium,pond_pump
2014-03-07 16:00:00,1.0341015625,0.0,0.0,0.5519973958333334,0.0,0.037143229166666666,0.137,0.011294270833333333,0.029427083333333333,0.0
2014-03-07 17:00:00,1.704445,0.0,0.0,0.48739166666666667,0.0,0.03430833333333333,0.07298166666666667,0.010825,0.027766666666666665,0.0
2014-03-07 18:00:00,1.0766026711185308,0.0,0.0,0.0,0.0,0.029951585976627712,0.18847746243739566,0.010412353923205343,0.027065108514190316,0.0
2014-03-07 19:00:00,0.5927512776831346,0.0,0.0,0.0,0.0,0.0321396933560477,0.07281942078364566,0.011449744463373083,0.028049403747870526,0.0
2014-03-07 20:00:00,0.49440201005025125,0.0,0.0,0.0,0.0,0.018716917922948075,0.0,0.012428810720268007,0.0284321608040201,0.0
2014-03-07 21:00:00,0.3836454545454545,0.0,0.0,0.0,0.0,0.021438181818181818,0.0,0.012245454545454545,0.02817090909090909,0.0
2014-03-07 22:00:00,0.2180532110091743,0.003820183486238532,0.0,3.6697247706422022e-06,0.0,0.0019834862385321103,0.008330275229357798,0.0011211009174311925,0.014012844036697248,0.0
2014-03-07 23:00:00,0.21764166666666668,0.06513,0.0,0.0,0.0,0.0,0.0,0.0,0.01289,0.0
2014-03-08 00:00:00,0.1535334448160535,0.001003344481605351,0.0,0.0,0.0,0.0,0.0,0.0,0.012861204013377927,0.0
2014-03-08 01:00:00,0.9090250417362271,0.06486978297161937,0.0,0.5969298831385642,0.0,0.0,0.0,0.0,0.011500834724540901,0.0
2014-03-08 02:00:00,0.2746921797004992,0.0010016638935108153,0.0,0.09752911813643926,0.0,0.0,0.0,0.0,0.011643926788685524,0.0
2014-03-08 03:00:00,0.17982499999999998,0.06372,0.0,6.6666666666666675e-06,0.0,0.0,0.0,0.0,0.011746666666666666,0.0
2014-03-08 04:00:00,0.14362,0.0010016666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.011761666666666667,0.0
2014-03-08 05:00:00,0.19382412060301507,0.05179564489112228,0.0,1.6750418760469012e-06,0.0,0.0,0.0,0.0,0.011683417085427136,0.0
2014-03-08 06:00:00,0.1838050420168067,0.014112605042016807,0.0,3.361344537815126e-06,0.0,0.0,0.0,0.0,0.011529411764705882,0.0
2014-03-08 07:00:00,0.2684336134453782,0.03153949579831933,0.0,3.361344537815126e-06,0.0,0.0,0.005579831932773109,0.07278319327731093,0.011300840336134455,0.0
2014-03-08 08:00:00,0.2727216666666667,0.043381666666666666,0.0,1.6666666666666669e-06,0.0,0.0,0.032645,0.014655,0.011218333333333334,0.0
2014-03-08 09:00:00,0.49871166666666666,0.030801666666666665,0.0,1.6666666666666669e-06,0.0,0.0,0.01399,0.10628,0.011273333333333333,0.0
2014-03-08 10:00:00,0.6461368948247078,0.037270450751252085,0.0,0.0,3.3388981636060103e-06,0.0,0.04048414023372287,0.0,0.011405676126878131,0.0
2014-03-08 11:00:00,1.361974958263773,0.023068447412353924,0.0,0.0,0.0004273789649415693,0.0,0.0,0.0,0.01176627712854758,0.0
2014-03-08 12:00:00,1.4491669449081803,0.044442404006677795,0.0,0.0,0.0,0.0,0.0,0.0,0.011621035058430717,0.0
2014-03-08 13:00:00,0.8480634390651085,0.015589315525876462,0.0,0.0,0.009626043405676127,0.0,0.0,0.0,0.011507512520868114,0.0
2014-03-08 14:00:00,0.8607279029462739,0.05242287694974004,0.0,0.0,0.7677279029462738,0.0,0.0,0.0,0.011291161178509531,0.0
2014-03-08 15:00:00,0.7372162629757786,0.009562283737024222,0.0,0.0,0.5149186851211073,0.0,0.0,0.0,0.011463667820069204,0.0
