time,main,television_site,freezer,washing_machine,dishwasher,appliance5,network_site,microwave_1,microwave_2,kettle
2014-01-17 22:00:00,0.26524230769230767,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.001,0.0
2014-01-17 23:00:00,0.17049174311926607,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.001,0.0
2014-01-18 00:00:00,0.17040732758620689,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.001,0.0
2014-01-18 01:00:00,0.17622487223168654,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.001,0.0
2014-01-18 02:00:00,0.1616068376068376,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.001,0.0
2014-01-18 03:00:00,0.18343459915611815,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.001,0.0
2014-01-18 04:00:00,0.17625301204819277,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.001,0.0
2014-01-18 05:00:00,0.15276818950930626,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.001,0.0
2014-01-18 06:00:00,0.2849674657534247,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.001,0.0
2014-01-18 07:00:00,0.6215599315068494,0.0,0.0,0.0,0.0,0.0,0.11813698630136986,0.002,0.011804794520547945,0.07459417808219178
2014-01-18 08:00:00,1.40415625,0.0,0.0,0.973890625,0.0,0.0,0.137490625,0.002,0.010503125,0.0
2014-01-18 09:00:00,,,,,,,,,,
2014-01-18 10:00:00,2.0559343220338984,0.0,1.3016016949152542,0.15980084745762713,0.0,0.0,0.14172245762711863,0.002,0.001,2.11864406779661e-05
2014-01-18 11:00:00,0.7125268456375838,0.0,0.15588758389261745,0.032630872483221475,0.0,0.0,0.14120805369127515,0.002,0.001,0.12185402684563758
2014-01-18 12:00:00,2.461474694589878,0.0,1.4400959860383944,0.37467713787085516,0.0,0.0,0.14523385689354276,0.002,0.0702024432809773,0.0
2014-01-18 13:00:00,0.6003378378378378,0.0,0.05303667953667954,0.003111969111969112,0.0,0.0,0.13683976833976835,0.002,0.001,0.10127413127413128
2014-01-18 14:00:00,1.0461466905187835,0.0,7.155635062611807e-06,0.4489928443649374,0.0,0.0,0.13658676207513418,0.002,0.001,0.0
2014-01-18 15:00:00,0.5676624319419237,0.0,0.03876950998185118,0.022872958257713245,0.0,0.0,0.13878765880217783,0.002,0.001,0.0
2014-01-18 16:00:00,3.0078863636363633,0.0,1.4324132231404958,0.0,0.0,0.0,0.1472582644628099,0.002,0.001,0.0
2014-01-18 17:00:00,1.7026479400749062,0.0,0.1498314606741573,0.0,0.07252247191011235,0.0,0.1548183520599251,0.002,0.001,0.0
2014-01-18 18:00:00,2.1049922928709055,0.0,0.0,0.0,1.2126011560693641,0.0,0.15459344894026975,0.002,0.001,0.0
2014-01-18 19:00:00,0.5848954128440368,0.0,0.0,0.0,1.8348623853211011e-06,0.0,0.14551559633027522,0.002,0.001,0.0
2014-01-18 20:00:00,0.6603893967093236,0.0,0.0,0.0,7.3126142595978065e-06,0.0,0.13991773308957953,0.002,0.001,0.0
2014-01-18 21:00:00,0.4823244781783681,0.0,0.0,0.0,5.692599620493359e-06,0.0,0.1439316888045541,0.002,0.001,0.0
2014-01-18 22:00:00,0.48374430823117337,0.0,0.0,0.0,5.2539404553415064e-06,0.0,0.1457478108581436,0.002,0.001,0.0
