time,main,fridge-freezer,washing_machine,television_site,microwave,kettle,toaster,bread-maker,game_console,hi-fi
2014-03-06 16:00:00,0.40946783625731,0.050625730994152046,0.0,0.032239766081871346,0.0,0.11194152046783626,0.0,0.0,0.03120175438596491,0.0
2014-03-06 17:00:00,0.48852951096121416,0.049187183811129846,0.0,0.006989881956155143,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-06 18:00:00,1.0079949494949496,0.05668686868686869,0.0,0.00698989898989899,0.0,0.07441245791245792,0.0,0.0,0.0,0.0025185185185185185
2014-03-06 19:00:00,0.49798809523809523,0.05118707482993197,0.0,0.04467006802721088,0.0,0.0,0.0,0.0,0.04434863945578231,0.0
2014-03-06 20:00:00,0.4212331081081081,0.05876013513513514,0.0,0.05239864864864865,0.0,0.0,0.0,0.0,0.0541097972972973,0.0
2014-03-06 21:00:00,0.6136174496644295,0.05521308724832215,0.0,0.033593959731543624,0.0,0.0,0.0,0.0,0.0,3.3557046979865773e-06
2014-03-06 22:00:00,0.2369186440677966,0.021915254237288136,0.0,0.03068813559322034,0.0,0.0,0.0,0.0,0.0,3.3898305084745763e-06
2014-03-06 23:00:00,0.223567612687813,0.07556260434056762,0.0,0.006996661101836394,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-07 00:00:00,0.1676980802792321,0.020839441535776614,0.0,0.006991273996509599,0.0,0.0,0.0,0.0,0.0,8.726003490401396e-06
2014-03-07 01:00:00,0.15157989228007182,0.0543806104129264,0.0,0.007,0.0,0.0,0.0,0.0,0.0,1.9748653500897664e-05
2014-03-07 02:00:00,0.16295615514333894,0.0433220910623946,0.0,0.006988195615514334,0.0,0.0,0.0,0.0,0.0,1.6863406408094435e-05
2014-03-07 03:00:00,0.17047833333333332,0.039700000000000006,0.0,0.007003333333333333,0.0,0.0,0.0,2.666666666666667e-05,0.0,1.4999999999999999e-05
2014-03-07 04:00:00,0.16446076794657763,0.031848080133555924,0.0,0.01575626043405676,0.0,0.0,0.0,0.0,0.0,5.0083472454090146e-06
2014-03-07 05:00:00,0.17141008403361346,0.05242521008403361,0.0,0.018258823529411765,0.0,0.0,0.0,0.0,0.0,3.361344537815126e-06
2014-03-07 06:00:00,0.320190990990991,0.024536936936936937,0.0,0.01314954954954955,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-07 07:00:00,0.5015706806282723,0.049975567190226874,0.0,0.025544502617801047,0.0,0.03580104712041885,0.02913961605584642,0.0,0.024075043630017452,0.0
2014-03-07 08:00:00,0.36481368821292776,0.06288022813688213,0.0,0.05662167300380228,0.0,0.0,0.0,0.0,0.055781368821292775,0.0
2014-03-07 09:00:00,0.16141739130434782,0.0,0.0,0.01983304347826087,0.0,0.0,0.0,0.0,0.0,5.2173913043478265e-06
2014-03-07 10:00:00,0.3262696245733788,0.0783037542662116,0.0,0.00698122866894198,0.0,0.11562286689419796,0.0,0.0,0.0,0.0
2014-03-07 11:00:00,0.21235871404399326,0.04991032148900169,0.0,0.006996615905245347,0.0,0.0,0.0,0.0,0.0,3.3840947546531303e-06
2014-03-07 12:00:00,0.19660084925690022,0.03567515923566879,0.0,0.006995753715498938,0.0,0.0,0.0,0.0,0.0,4.246284501061571e-06
2014-03-07 13:00:00,0.9508290155440414,0.03389637305699482,0.0,0.006993091537132987,0.0,0.05019170984455958,0.06579620034542315,0.0,0.0,6.90846286701209e-06
2014-03-07 14:00:00,0.2017124060150376,0.07609962406015038,0.0,0.006996240601503759,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-07 15:00:00,0.18195400340715503,0.021149914821124362,0.0,0.00699488926746167,0.0,0.0,0.0,0.0,0.0,3.4071550255536626e-06
2014-03-07 16:00:00,0.20905236486486486,0.0540929054054054,0.0,0.0069949324324324325,0.02041216216216216,0.0,0.0,0.0,0.0,1.3513513513513515e-05
2014-03-07 17:00:00,0.2717512864493996,0.04659862778730703,0.0,0.007,0.033653516295025734,0.05086106346483705,0.0,0.0,0.0,0.0
2014-03-07 18:00:00,0.5224340567612689,0.060849749582637724,0.0,0.0069933222036727884,0.0515559265442404,0.0,0.0,0.0,0.0,6.6777963272120206e-06
2014-03-07 19:00:00,0.4395688073394496,0.0151651376146789,0.0,0.032376146788990826,0.0,0.06517981651376147,0.0,0.0,0.03499082568807339,0.0
2014-03-07 20:00:00,0.44949217391304347,0.07394956521739131,0.0,0.05071652173913044,0.0,0.0,0.0,0.0,0.060485217391304344,0.0
2014-03-07 21:00:00,0.2871962457337884,0.03166552901023891,0.0,0.006991467576791809,0.0,0.0,0.0,0.0,0.0,1.7064846416382253e-06
2014-03-07 22:00:00,0.21456875,0.04003541666666667,0.0,0.006985416666666667,0.0,0.0,0.0,0.0,0.0,4.166666666666667e-06
2014-03-07 23:00:00,0.19177702702702704,0.0438597972972973,0.0,0.00700168918918919,0.0,0.0,0.0,0.0,0.0,1.6891891891891894e-06
2014-03-08 00:00:00,0.16216,0.05195166666666667,0.0,0.006993333333333333,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-08 01:00:00,0.1645267558528428,0.015919732441471574,0.0,0.006994983277591973,0.0,0.0,0.0,0.010453177257525084,0.0,1.6722408026755853e-06
