time,main,fridge-freezer,tumble_dryer,washing_machine,dishwasher,computer_site,television_site,microwave,hi-fi,toaster
2014-06-04 00:00:00,0.2561135940409683,0.0272551210428305,0.0,0.0,0.0,0.0,0.0,0.0009385474860335,0.0,0.0
2014-06-04 01:00:00,0.2558785046728972,0.0285009345794392,0.0,0.0,0.0,0.0,0.0,0.0009551401869158,0.0,0.0
2014-06-04 02:00:00,0.2531292775665399,0.0264619771863117,0.0,0.0,0.0,0.0,0.0,0.0009505703422053,0.0,0.0
2014-06-04 03:00:00,0.2434215328467153,0.0080273722627737,0.0,0.0,0.0,0.0,0.0,0.000934306569343,0.0,0.0
2014-06-04 04:00:00,0.253337099811676,0.0257909604519774,0.0,0.0,0.0,0.0,0.0,0.0009717514124293,0.0,0.0
2014-06-04 05:00:00,0.2602932330827067,0.0289812030075188,0.0,0.0,0.0,0.0,0.0,0.0009548872180451,0.0,0.0
2014-06-04 06:00:00,0.4182287822878228,0.0300867158671586,0.0,0.0,0.0,0.0,0.0,0.0008154981549815,0.1433487084870848,0.0
2014-06-04 07:00:00,0.171051282051282,0.0158589743589743,0.0,0.0,0.0,0.0,0.0,0.0008315018315018,0.0,0.0
2014-06-04 08:00:00,0.1696954954954954,0.0123585585585585,0.0,0.0,0.0,0.0,0.0,0.0008054054054054,0.0,0.0
2014-06-04 09:00:00,0.1740211267605634,0.0293697183098591,0.0,0.0,0.0,0.0,0.0,0.0009154929577464,0.0,0.0
2014-06-04 10:00:00,0.1750379965457685,0.0303644214162348,0.0,0.0,0.0,0.0,0.0,0.0007599309153713,0.0,0.0
2014-06-04 11:00:00,0.1668106194690265,0.0031097345132743,0.0,0.0,0.0,0.0,0.0,0.00089203539823,0.0,0.0
2014-06-04 12:00:00,0.1729078260869565,0.0251860869565217,0.0,0.0,0.0,0.0,0.0,0.0006521739130434,0.0,0.0
2014-06-04 13:00:00,0.1769840425531915,0.03102304964539,0.0,0.0,0.0,0.0,0.0,0.0008723404255319,0.0,0.0
2014-06-04 14:00:00,0.1737091222030981,0.0287831325301204,0.0,0.0,0.0,0.0,0.0,0.0008227194492254,0.0,0.0
2014-06-04 15:00:00,0.1648626465661641,0.0006649916247906,0.0,0.0,0.0,0.0,0.0,0.0007654941373534,0.0,0.0
2014-06-04 16:00:00,0.2487909698996655,0.0422608695652173,0.0,0.0,0.0,0.0,0.0116421404682274,0.0008678929765886,0.0,0.0
2014-06-04 17:00:00,0.4046120996441281,0.0254341637010676,0.0,0.0,0.0,0.0,0.0706565836298932,0.0184181494661921,0.0,0.0
2014-06-04 18:00:00,0.565101083032491,0.0282960288808664,0.0,0.0,0.0,0.0,0.0702942238267148,0.1448808664259928,0.1306227436823104,0.0
2014-06-04 19:00:00,0.2931663619744058,0.0271882998171846,0.0,0.0,0.0,0.0,0.0702157221206581,0.0009652650822669,0.0,0.0
2014-06-04 20:00:00,0.2898414414414414,0.0269333333333333,0.0,0.0,0.0,0.0,0.0600324324324324,0.0009351351351351,0.0,0.0
2014-06-04 21:00:00,0.2441936056838365,0.0285044404973357,0.0,0.0,0.0,0.0,0.0,0.00098756660746,0.0,0.0
2014-06-04 22:00:00,0.2116323851203501,0.0231969365426695,0.0,0.0,0.0,0.0,0.0,0.0009715536105032,0.0,0.0
2014-06-04 23:00:00,0.1790546075085324,0.010098976109215,0.0,0.0,0.0,0.0,0.0,0.0009931740614334,0.0,0.0
2014-06-05 00:00:00,0.1886200345423143,0.0314663212435233,0.0,0.0,0.0,0.0,0.0,0.0009326424870466,0.0,0.0
2014-06-05 01:00:00,0.1878663194444444,0.03103125,0.0,0.0,0.0,0.0,0.0,0.0009809027777777,0.0,0.0
2014-06-05 02:00:00,0.1769476439790576,0.0,0.0,0.0,0.0,0.0,0.0,0.0009214659685863,0.0,0.0
2014-06-05 03:00:00,0.1892811387900355,0.0337135231316725,0.0,0.0,0.0,0.0,0.0,0.0009128113879003,0.0,0.0
2014-06-05 04:00:00,0.1860086956521739,0.0258452173913043,0.0,0.0,0.0,0.0,0.0,0.0009182608695652,0.0,0.0
2014-06-05 05:00:00,0.1805934819897084,0.0091286449399656,0.0,0.0,0.0,0.0,0.0,0.000778730703259,0.0,0.0
2014-06-05 06:00:00,0.1954722222222222,0.0323090277777777,0.0,0.0,0.0,0.0,0.0,0.0007534722222222,0.0,0.0
2014-06-05 07:00:00,0.6171038062283738,5.536332179930796e-05,0.0,0.2378062283737024,0.0,0.0,0.0,0.0008598615916955,0.1671124567474048,0.0
2014-06-05 08:00:00,0.6110895008605852,0.03468330464716,0.0,0.215815834767642,5.507745266781412e-05,0.0,0.0,0.0009139414802065,0.0701635111876075,0.0477538726333907
2014-06-05 09:00:00,0.2810259515570934,0.0339065743944636,0.0,0.0375294117647058,0.0,0.0,0.0,0.0009757785467128,0.0,0.0
2014-06-05 10:00:00,0.2225220458553791,0.0,0.0,0.0,0.0,0.0,0.0,0.0009294532627865,0.0,0.0
2014-06-05 11:00:00,0.2480833333333333,0.0323020833333333,0.0,0.0,0.0,0.0,0.0,0.0009548611111111,0.0,0.0
2014-06-05 12:00:00,0.2434816753926701,0.0305916230366492,0.0,0.0,0.0,0.0,0.0,0.000739965095986,0.0,0.0
2014-06-05 13:00:00,0.3623680672268907,0.0308235294117647,0.0,0.0,0.0,0.0,0.0,0.0008621848739495,0.1204773109243697,0.0
2014-06-05 14:00:00,0.2360535117056856,0.0218561872909699,0.0,0.0,0.0,0.0,0.0,0.0009147157190635,0.0,0.0
2014-06-05 15:00:00,0.2470016806722689,0.0172991596638655,0.0,0.0,0.0008605042016806,0.0,0.0,0.0008285714285714,0.0,0.0
2014-06-05 16:00:00,0.2561413793103448,0.0183896551724137,0.0,0.0,0.0,0.0,0.0,0.000851724137931,0.0,0.0
2014-06-05 17:00:00,0.3229326241134752,0.0267021276595744,0.0,0.0,0.0047659574468085,0.0,0.0371187943262411,0.0009024822695035,0.0,0.0
2014-06-05 18:00:00,0.3796160714285714,0.0264767857142857,0.0,0.0,0.0,0.0,0.0702392857142857,0.1135178571428571,0.0,0.0
2014-06-05 19:00:00,0.2730036297640653,0.0300961887477313,0.0,0.0,0.0,0.0,0.0701433756805807,0.0009564428312159,0.0,0.0
2014-06-05 20:00:00,0.4349080068143101,0.0269199318568994,0.0,0.0,0.0,0.0,0.0702521294718909,0.0009318568994889,0.1395281090289608,0.0
2014-06-05 21:00:00,0.2839471890971039,0.0295383304940374,0.0,0.0,0.0,0.0,0.0007802385008517,0.0009557069846678,0.0,0.0
2014-06-05 22:00:00,0.2494240282685512,0.0073321554770318,0.0,0.0,0.0,0.0,0.0,0.0008321554770318,0.0,0.0
2014-06-05 23:00:00,0.2508364888123924,0.0212633390705679,0.0,0.0,0.0,0.0,0.0,0.000907056798623,0.0,0.0
2014-06-06 00:00:00,0.2555130434782608,0.0279443478260869,0.0,0.0,0.0,0.0,0.0,0.0006782608695652,0.0,0.0
2014-06-06 01:00:00,0.2501145833333333,0.0197256944444444,0.0,0.0,0.0,0.0,0.0,0.0008923611111111,0.0,0.0
2014-06-06 02:00:00,0.2474820512820512,0.0139641025641025,0.0,0.0,0.0,0.0,0.0,0.000876923076923,0.0,0.0
2014-06-06 03:00:00,0.2594587628865979,0.0373298969072164,0.0,0.0,0.0,0.0,0.0,0.0009123711340206,0.0,0.0
2014-06-06 04:00:00,0.2382078364565587,0.0,0.0,0.0,0.0,0.0,0.0,0.0008483816013628,0.0,0.0
2014-06-06 05:00:00,0.2622521150592216,0.0345905245346869,0.0,0.0,0.0,0.0,0.0,0.0007935702199661,0.0,0.0
2014-06-06 06:00:00,0.4371572438162544,6.713780918727916e-05,0.0,0.0,0.0,0.0,0.0,0.0005706713780918,0.16,0.0
2014-06-06 07:00:00,0.1805263157894736,0.0373333333333333,0.0,0.0,0.0,0.0,0.0,0.0008491228070175,0.0,0.0
2014-06-06 08:00:00,0.1716102564102564,0.0195282051282051,0.0,0.0,0.0,0.0,0.0,0.0009111111111111,0.0,0.0
