time,main,fridge-freezer,washing_machine,dishwasher,telivision_site,microwave,toaster,hi-fi,kettle,overhead_fan
2014-06-04 00:00:00,0.1382837837837837,0.0529774774774774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-04 01:00:00,0.1289264705882353,0.0432892156862745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-04 02:00:00,0.119983114446529,0.0295722326454033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-04 03:00:00,0.1371865671641791,0.0522966417910447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-04 04:00:00,0.1012056074766355,0.0092841121495327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-04 05:00:00,0.1438088803088803,0.059519305019305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-04 06:00:00,0.2989309701492537,0.0399085820895522,0.0,0.0,0.0034197761194029,0.0,0.0,0.0,0.1160615671641791,0.0
2014-06-04 07:00:00,1.552859489051095,0.0102846715328467,0.0,0.0,0.0292956204379562,0.0,0.0,0.0,0.0,0.0
2014-06-04 08:00:00,0.155450354609929,0.0549095744680851,0.0,0.0,0.0009804964539007,0.0,0.0,0.0,0.0,0.0
2014-06-04 09:00:00,0.0972780748663101,0.0042673796791443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-04 10:00:00,0.1720431034482758,0.1034758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-04 11:00:00,0.2967048611111111,0.0592552083333333,0.0,0.0,0.0,0.0,0.06096875,0.0,0.0812847222222222,0.0
2014-06-04 12:00:00,0.1803858131487889,0.0661505190311418,0.0,0.0,0.0,0.0,0.0312456747404844,0.0,0.0,0.0
2014-06-04 13:00:00,0.824095575221239,0.0250672566371681,0.3587805309734513,0.0,0.0,0.0,0.0,0.0117734513274336,0.0922141592920354,0.0
2014-06-04 14:00:00,0.2547456747404844,0.0374740484429065,0.0590830449826989,0.0,0.0310259515570934,0.0,0.0,0.0160968858131487,0.0,0.0
2014-06-04 15:00:00,1.169500837520938,0.0447922948073701,0.0,0.0,0.0475343383584589,0.0,0.0,0.0160150753768844,0.0,0.0
2014-06-04 16:00:00,0.7917035175879397,0.0212261306532663,0.0,0.0,0.0,0.0,0.0,0.0160619765494137,0.124428810720268,0.0
2014-06-04 17:00:00,0.4396643233743409,0.0650808435852372,0.0,0.1960702987697715,0.0,0.0,0.0,0.0159244288224956,0.0,0.0
2014-06-04 18:00:00,0.931068783068783,0.0326490299823633,0.0,0.733095238095238,0.0,0.0,0.0,0.0161728395061728,0.0,0.0
2014-06-04 19:00:00,0.8081225577264654,0.0264120781527531,0.0,0.4597104795737122,0.0,0.0,0.0,0.0160781527531083,0.1301811722912966,0.0
2014-06-04 20:00:00,0.2681717902350813,0.0373001808318264,0.0,0.0,0.0,0.0,0.0,0.013625678119349,0.0,0.0
2014-06-04 21:00:00,0.2522,0.0477714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-04 22:00:00,0.1493098330241187,0.0266975881261595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-04 23:00:00,0.1137854671280276,0.0197301038062283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-05 00:00:00,0.1310448275862069,0.0441258620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-05 01:00:00,0.121053633217993,0.029477508650519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-05 02:00:00,0.1055746140651801,0.0139588336192109,0.0,0.0,0.0,0.0,0.0,0.0,3.430531732418525e-06,0.0
2014-06-05 03:00:00,0.1305714285714286,0.0439041811846689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-05 04:00:00,0.1080513274336283,0.0172566371681415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-05 05:00:00,0.1216313932980599,0.0270458553791887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-05 06:00:00,0.3021122625215889,0.0510621761658031,0.0,0.0,0.0041796200345423,0.0,0.033621761658031,0.0,0.1288462867012089,0.0
2014-06-05 07:00:00,2.1741092150170647,0.0189095563139931,0.0,0.0,0.0129658703071672,0.0,0.0,0.0,0.0,0.0
2014-06-05 08:00:00,0.6785291005291005,0.0259594356261022,0.5017336860670194,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-05 09:00:00,0.2027739726027397,0.042195205479452,0.0629041095890411,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-05 10:00:00,0.1234667832167832,0.0173741258741258,0.0120192307692307,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-05 11:00:00,0.2566880415944541,0.0913327556325823,0.0,0.0,0.0,0.0,0.0329532062391681,0.0,0.0432859618717504,0.0
2014-06-05 12:00:00,0.1786031468531468,0.0510594405594405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-05 13:00:00,0.2894412751677852,0.0475922818791946,0.0,0.0,0.0,0.0,0.0,0.0,0.1489345637583892,0.0
2014-06-05 14:00:00,0.1216197654941373,0.034572864321608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-05 15:00:00,0.1076621621621621,0.0187719594594594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-05 16:00:00,0.3532555746140651,0.0366946826758147,0.0,0.0,0.0,0.0,0.0,0.0,0.2276706689536878,0.0
2014-06-05 17:00:00,0.1431467889908257,0.0591229357798165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-05 18:00:00,0.1187098540145985,0.0318284671532846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-05 19:00:00,0.2124574669187145,0.0132570888468809,0.0,0.0109470699432892,0.0,0.0,0.0,0.0,0.078351606805293,0.0
2014-06-05 20:00:00,1.0728769771529,0.0389789103690685,0.0,0.836701230228471,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-05 21:00:00,0.8363642611683849,0.0430876288659793,0.0,0.6226374570446735,0.011168384879725,0.0,0.0,0.0,0.0,0.0
2014-06-05 22:00:00,0.1964652406417112,0.034711229946524,0.0,0.0010837789661319,0.0312745098039215,0.0,0.0,0.0,0.0,0.0
2014-06-05 23:00:00,0.1132619047619047,0.0064963369963369,0.0,0.0,0.0014065934065934,0.0,0.0,0.0,0.0,0.0
