time,main,toaster,fridge-freezer,freezer,tumble_dryer,dishwasher,washing_machine,television_site,microwave,kettle
2014-06-04 00:00:00,0.592,0.0,0.0321876675603217,0.0458150134048257,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-04 01:00:00,0.592,0.0,0.0322791878172588,0.0482005076142132,0.0,0.0,0.0003857868020304,0.0,0.0,0.0
2014-06-04 02:00:00,0.592,0.0,0.0375588865096359,0.0456745182012848,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-04 03:00:00,0.592,0.0,0.0374101479915433,0.046737843551797,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-04 04:00:00,0.592,0.0,0.0373588709677419,0.0412419354838709,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-04 05:00:00,0.592,0.0,0.0307160751565762,0.0354175365344467,0.0,0.0,0.0,0.0,0.0,0.1269081419624217
2014-06-04 06:00:00,0.4906,0.0,0.0455393939393939,0.0436424242424242,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-04 07:00:00,1.4611195876288658,0.0,0.0756061855670103,0.0637237113402061,0.2840865979381443,0.0,0.0,0.0756742268041237,0.0,0.1150824742268041
2014-06-04 08:00:00,0.3871640926640927,0.0,0.0,0.0384942084942084,0.2792837837837838,0.0,0.0,0.0186621621621621,0.0,0.003030888030888
2014-06-04 09:00:00,0.3321795366795367,0.0,0.0794806949806949,0.036034749034749,0.4617027027027027,0.0,0.0,0.0754884169884169,0.0,0.0
2014-06-04 10:00:00,0.3420344827586207,0.0,0.0,0.0482450090744101,0.0,0.0,0.0,0.1442214156079855,0.0,0.0
2014-06-04 11:00:00,0.342,0.0,0.1367009009009009,0.049018018018018,0.0,0.0,0.0,0.1441459459459459,0.0241729729729729,0.0476594594594594
2014-06-04 12:00:00,0.342,0.0,0.1065461121157323,0.0365768535262206,0.0,0.0,0.0,0.1441500904159132,0.0,0.0271030741410488
2014-06-04 13:00:00,0.342,0.0,0.0396045694200351,0.0447451669595782,0.0,0.0,0.0,0.0209630931458699,0.0,0.0
2014-06-04 14:00:00,0.342,0.0,0.0471022927689594,0.0405202821869488,0.0,0.0,0.4802962962962963,0.0073386243386243,0.0,0.1369541446208113
2014-06-04 15:00:00,0.342,0.0,0.0293086003372681,0.0340556492411467,0.0,0.0,0.0465514333895446,0.0411922428330522,0.0,0.0
2014-06-04 16:00:00,0.8722516778523489,0.0,0.0453758389261744,0.0585318791946308,0.2025218120805369,0.0002147651006711,0.0,0.0120570469798657,0.1113859060402684,0.0
