time,main,freezer_1,computer,television_site,electric_heater
2014-06-04 00:00:00,0.2225163147792706,0.0219980806142034,0.0,0.0,0.001
2014-06-04 01:00:00,0.1782055045871559,0.0161357798165137,0.0,0.0,0.001
2014-06-04 02:00:00,0.2051951219512195,0.0148217636022514,0.0,0.00153095684803,0.001
2014-06-04 03:00:00,0.1635447619047619,0.0151066666666666,0.0,0.0,0.001
2014-06-04 04:00:00,0.1937433460076045,0.0144391634980988,0.0,0.0,0.001
2014-06-04 05:00:00,0.2215009416195857,0.0215706214689265,0.0,0.0,0.001
2014-06-04 06:00:00,0.2225992578849721,0.0211539888682745,0.0,0.0,0.001
2014-06-04 07:00:00,0.1730362976406533,0.0157876588021778,0.0,0.0,0.001
2014-06-04 08:00:00,0.2401682070240295,0.015988909426987,0.0,0.0,0.001
2014-06-04 09:00:00,0.225698752228164,0.0159857397504456,0.0,0.0,0.001
2014-06-04 10:00:00,0.1795916230366492,0.0210279232111692,0.0,0.0,0.001
2014-06-04 11:00:00,0.2152007042253521,0.0232007042253521,0.0,0.0,0.001
2014-06-04 12:00:00,0.1729928825622775,0.0228683274021352,0.0,0.0,0.001
2014-06-04 13:00:00,0.187493006993007,0.0163601398601398,0.0,0.0,0.001
2014-06-04 14:00:00,0.1904388984509466,0.0187349397590361,0.0,0.0,0.001
2014-06-04 15:00:00,0.1993384094754653,0.0218510998307952,0.0,0.0,0.001
2014-06-04 16:00:00,0.2122785234899329,0.0251828859060402,0.0,0.0,0.001
2014-06-04 17:00:00,0.1759484346224677,0.0204217311233885,0.0,0.0,0.001
2014-06-04 18:00:00,0.857728102189781,0.0151386861313868,0.0139215328467153,0.0013722627737226,0.001
2014-06-04 19:00:00,0.642629981024668,0.0148368121442125,0.0153320683111954,0.017358633776091,0.001
2014-06-04 20:00:00,0.6615157116451017,0.0202550831792975,0.0291423290203327,0.0020591497227356,0.001
2014-06-04 21:00:00,0.5365523978685612,0.0215222024866785,0.0113570159857904,0.0318543516873889,0.001
2014-06-04 22:00:00,0.4801888888888889,0.0220925925925925,0.0,0.0327222222222222,0.001
2014-06-04 23:00:00,0.2640052264808362,0.0149912891986062,0.0,0.0081080139372822,0.001
2014-06-05 00:00:00,0.1665962199312715,0.0145876288659793,0.0,0.0,0.001
