time,main,television_site,freezer,washing_machine,dishwasher,appliance5,network_site,microwave_1,microwave_2,kettle
2014-06-04 00:00:00,0.2114266666666666,0.0,0.0,0.0,0.0,0.012,0.0,0.0049216666666666,0.001,0.0
2014-06-04 01:00:00,0.2029333333333333,0.0,0.0,0.0,0.0,0.012,0.0,0.0049233333333333,0.001,0.0
2014-06-04 02:00:00,0.19881,0.0,0.0,0.0,0.0,0.012,0.0,0.00492,0.001,0.0
2014-06-04 03:00:00,0.20072,0.0,0.0,0.0,0.0,0.012,0.0,0.0048983333333333,0.001,0.0
2014-06-04 04:00:00,0.2582,0.0,0.0,0.0,0.0,0.012,0.0,0.0049166666666666,0.001,0.0
2014-06-04 05:00:00,0.7013489583333333,0.0,0.0,0.0,0.0,0.012,0.0760607638888888,0.0048940972222222,0.001,0.1339618055555555
2014-06-04 06:00:00,0.2834690117252931,0.0,0.0,0.0,0.0,0.012,0.1065343383584589,0.0048425460636515,0.001,0.0
2014-06-04 07:00:00,0.1602299999999999,0.0,0.0,0.0,0.0,0.012,0.0,0.00483,0.0009983333333333,0.0
2014-06-04 08:00:00,0.1600233333333333,0.0,0.0,0.0,1.6666666666666669e-06,0.012,0.0,0.0048483333333333,0.001,0.0
2014-06-04 09:00:00,0.15929,0.0,0.0,0.0,0.0,0.012,0.0,0.004855,0.001,0.0
2014-06-04 10:00:00,0.1549816666666666,0.0,0.0,0.0,0.0,0.012,0.0,0.0048499999999999,0.001,0.0
2014-06-04 11:00:00,0.1521666666666666,0.0,0.0,0.0,0.0,0.012,0.0,0.0048804713804713,0.001,0.0
2014-06-04 12:00:00,0.1599744897959183,0.0,0.0,0.0,1.7006802721088434e-06,0.012,0.0,0.0048367346938775,0.0009965986394557,0.0
2014-06-04 13:00:00,0.1635492487479131,0.0,0.0,0.0,0.0,0.012,0.0,0.0048247078464106,0.001,0.0
2014-06-04 14:00:00,0.255787979966611,0.0,0.0,0.0,0.0,0.012,0.0,0.0048597662771285,0.001,0.1018864774624374
2014-06-04 15:00:00,0.6942377740303541,0.0,0.0,0.0,1.6863406408094434e-06,0.012,0.1315733558178752,0.0048482293423271,0.001,0.0662849915682967
2014-06-04 16:00:00,1.8949430485762144,0.0,0.0,0.0,5.025125628140704e-06,0.012,0.1448324958123953,0.004857621440536,0.1462948073701842,0.0
2014-06-04 17:00:00,1.4095892255892255,0.0,0.0,0.0,0.9340151515151516,0.012,0.1522744107744107,0.0048518518518518,0.0013670033670033,0.0
2014-06-04 18:00:00,0.6099716193656094,0.0,0.0,0.0,0.2107679465776293,0.012,0.1530667779632721,0.0048597662771285,0.001,0.0
2014-06-04 19:00:00,0.367866554054054,0.0,0.0,0.0,6.7567567567567575e-06,0.012,0.1713378378378378,0.0048581081081081,0.001,0.0
2014-06-04 20:00:00,0.4164113712374582,0.0,0.0,0.0,0.0,0.012,0.1887123745819398,0.0048511705685618,0.001,0.0
2014-06-04 21:00:00,0.311255,0.0,0.0,0.0,0.0,0.012,0.099825,0.004885,0.001,6.666666666666667e-05
2014-06-04 22:00:00,0.2076911519198664,0.0,0.0,0.0,0.0,0.012,0.0,0.00489816360601,0.001,0.0
2014-06-04 23:00:00,0.1911840277777777,0.0,0.0,0.0,0.0,0.012,0.0,0.0049114583333333,0.001,0.0
2014-06-05 00:00:00,0.198426116838488,0.0,0.0,0.0,0.0,0.012,0.0,0.0049243986254295,0.001,0.0
2014-06-05 01:00:00,0.2082732049036777,0.0,0.0,0.0,0.0,0.012,0.0,0.0049334500875656,0.001,0.0
2014-06-05 02:00:00,0.1890843373493976,0.0,0.0,0.0,0.0,0.012,0.0,0.0049001721170395,0.0095370051635111,0.0
2014-06-05 03:00:00,0.1917822299651568,0.0,0.0,0.0,0.0,0.012,0.0,0.0049128919860627,0.001,0.0
2014-06-05 04:00:00,0.2726483704974271,0.0,0.0,0.0,0.0,0.012,0.0,0.0048987993138936,0.001,0.0
2014-06-05 05:00:00,0.6639529616724739,0.0,0.0,0.0,0.0,0.012,0.0641533101045296,0.0049076655052264,0.001,0.1328240418118466
